service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101,1,1,1,1,1,1,1,20180101,20180517
102,1,0,0,0,1,1,1,20180518,20180630
103,0,1,1,1,0,0,0,20180518,20180630
104,1,0,0,1,1,1,1,20180701,20180909
105,0,1,1,0,0,0,0,20180701,20180909
106,1,1,1,1,1,1,1,20180910,20190107
111,1,0,0,0,1,1,1,20190108,20190207
112,1,1,1,1,1,1,1,20190208,20190228
201,0,0,0,0,0,1,1,20180428,20180513
202,1,1,1,1,1,1,1,20180518,20180909
203,0,0,0,0,1,1,1,20180914,20181014
