service_id,date,exception_type
107,20180427,1
101,20180427,2
108,20180429,1
101,20180429,2
106,20180915,2
106,20180916,2
106,20180922,2
106,20180923,2
106,20180929,2
106,20180930,2
106,20181006,2
106,20181007,2
106,20181013,2
106,20181014,2
109,20180915,1
109,20180916,1
109,20180922,1
109,20180923,1
109,20180929,1
109,20180930,1
109,20181006,1
109,20181007,1
109,20181013,1
109,20181014,1
106,20181225,2
113,20181122,1
113,20181224,1
106,20181122,2
106,20181224,2
